식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g)
동자개-양식산,100,-,-,-,-
동자개-자연산,100,-,-,-,-
동죽,100,-,-,-,0.8
동죽,100,69,11.8,1.6,-
동죽,100,-,-,-,-
동죽,100,-,11.6,-,-
돛양태,100,81,18.5,0.1,0.1
두드럭고둥,100,89,14.2,0.7,0.7
두툽상어,100,-,-,-,-
두툽상어,100,94,21.4,0.3,-
두툽상어,100,-,23.4,-,0.3
두툽상어-간,100,-,-,-,44.5
둑중개,100,104,15,4.2,-
둥근돌김-소건품,100,168,35.5,1.7,-
둥근전복,100,85,14.3,0.7,-
드렁허리,100,92,17.9,1.7,-
등가시치,100,-,-,-,3.5
등가시치,100,79,18.5,0.1,-
등가시치,100,-,19.8,-,-
떡붕어,100,-,-,-,-
떡붕어,100,96,18.1,2,-
떡붕어,100,-,17.7,-,2
떡붕어-알,100,-,25.7,-,-
떡붕어-알,100,-,-,-,2.7
떡조개,100,-,-,-,1.3
떡조개,100,87,11.2,1,-
또아리물레고둥,100,-,-,-,1.1
뜸부기-소건품,100,128,6.1,2.5,-
띠구슬다슬기,100,-,-,-,-
띠구슬다슬기,100,117,16.9,0.6,0.6
마디잘록이,100,-,6.4,-,0.2
만새기,100,-,21.8,-,-
만새기,100,66,13.3,1.1,-
말똥성게,100,-,-,-,2.5
말미잘,100,-,-,-,2.6
말미잘,100,-,12.7,-,-
말백합,100,58,10.1,0.5,0.5
말전복,100,77,12.8,0.8,-
말전복,100,-,13.5,-,-
말쥐치,100,-,18.4,-,-
말쥐치,100,-,17.9,-,-
말쥐치,100,80,17.9,0.2,-
말쥐치,100,-,-,-,0.1
말쥐치-조미건품,100,325,38.7,2.2,-
맛조개,100,-,-,-,-
맛조개,100,-,12,-,1.2
망상어,100,89,18.9,0.9,0.9
망상어,100,-,18.9,-,-
매끈이고둥,100,108,22.5,0.4,0.4
매끈이고둥,100,-,19.5,-,-
매리복,100,88,19.8,0.3,0.3
매리복,100,-,19.8,-,-
매생이,100,-,-,-,-
매생이,100,-,4.2,-,3.3
매생이-소건품,100,125,20.6,0.5,-
매오징어,100,80,14,1.4,-
매퉁이,100,-,19.5,-,-
매퉁이,100,93,20.8,0.5,-
매퉁이,100,-,-,-,2.4
맵사리,100,-,19.6,-,-
먹장어,100,-,-,-,-
먹장어,100,-,13.3,-,-
먹장어,100,129,16.9,6,6
먹장어-껍질,100,-,-,-,12.7
먹장어-전어체,100,-,-,-,4.5
멍게,100,-,-,-,-
멍게,100,-,-,-,-
멍게,100,-,-,-,1.3
멍게,100,-,7,-,-
메기,100,114,15.1,5.3,-
메기-자연산,100,-,-,-,-
메기-자연산,100,-,17,-,-
메기-자연산,100,-,-,-,2.8
멸치,100,-,-,-,-
멸치,100,127,17.7,5.4,-
멸치,100,-,17.5,-,-
멸치-근육,100,-,-,-,5.4
멸치-소건품-대멸,100,333,50.9,12.2,12.2
멸치-소건품-소멸,100,334,54.9,10.7,10.7
멸치-소건품-자멸,100,285,46.5,9.2,9.2
멸치-소건품-중멸,100,341,54.3,11.7,11.7
멸치-알,100,-,24.9,-,-
멸치-액젓,100,39,8.6,0.1,-
멸치-액젓,100,-,8.6,-,-
멸치-자건품-대멸,100,-,51.5,-,-
멸치-자건품-대멸,100,-,-,-,5.5
멸치-자건품-대멸,100,303,47.4,9.8,-
멸치-자건품-대멸,100,-,-,-,-
멸치-자건품-세멸,100,239,42.4,6,-
멸치-자건품-소멸,100,-,54.9,-,-
멸치-자건품-중멸,100,-,54.3,-,-
멸치-자건품-중멸,100,232,38.9,5.1,-
멸치-자건품-혼합,100,-,-,-,4.8
멸치-전어체,100,-,-,-,4.6
멸치-젓갈,100,118,14,6.3,-
멸치-젓갈,100,-,-,-,3.1
명태,100,-,-,-,-
명태,100,-,-,-,0.7
명태,100,80,17.5,0.7,-
명태,100,-,-,-,-
명태,100,-,17.4,-,-
명태-간,100,-,-,-,-
명태-간,100,-,-,-,41.5
명태-동건품(포),100,350,74.6,3.6,3.6
명태-명란젓,100,126,20.5,3,-
명태-명란젓,100,-,20,-,0.6
명태-소건품,100,-,70.6,-,-
명태-소건품(노가리),100,351,74.3,3.8,3.8
명태-소건품(코다리),100,290,61.7,3.1,-
명태-알,100,-,-,-,-
명태-알,100,-,-,-,-
명태-조미건품(포),100,319,43.9,1.5,-
명태-조미건품(포),100,-,37.9,-,-
명태-창란젓,100,116,12.9,3.2,-
명태-창란젓,100,-,9.3,-,0.4
명태-포(먹태),100,372,82.7,2.4,-
명태-포(북어),100,358,70.6,6.2,6.2
모래무지,100,77,15.7,1.1,-
모무늬돌김-소건품,100,-,-,-,0.3
모자반,100,18,1.8,0.2,-
모자반,100,-,5.8,-,-
모자반,100,-,-,-,0.2
모자반-염장품,100,18,3.1,0.2,-
모조리상어,100,108,21.7,1.7,-
목탁가오리,100,98,22.2,0.5,-
몽치다래,100,159,24.1,5.9,9.9
무늬홍어,100,-,-,-,0.7
무지개송어,100,-,-,-,-
무지개송어,100,-,-,-,-
무지개송어,100,-,-,-,10
무지개송어,100,-,19.8,-,-
무지개송어,100,126,21.1,3.9,-
문절망둑,100,90,18.7,1.1,-
문절망둑,100,-,-,-,1.6
문절망둑,100,-,-,-,-
문치가자미,100,-,-,-,1.7
문치가자미,100,93,19.9,0.7,-
물가자미,100,-,-,-,2.7
물렁가시붉은새우,100,83,18,0.5,-
물렁가시붉은새우,100,-,-,-,0.6
물레고둥,100,88,17.1,0.3,0.3
물메기,100,78,16.4,0.9,-
물메기,100,-,-,-,-
물메기-근육,100,-,-,-,0.2
물메기-내장,100,-,-,-,7.2
물메기-내장,100,-,-,-,-
물치다래,100,168,23.4,7.3,-
미꾸라지,100,-,-,-,2.5
미꾸라지,100,-,-,-,-
미꾸리,100,-,-,-,-
미꾸리,100,-,17.8,-,-
미꾸리,100,-,-,-,3.5
미꾸리,100,-,-,-,-
미꾸리,100,96,16.2,2.8,-
미더덕,100,-,-,-,-
미더덕,100,-,-,-,-
미더덕,100,46,4.3,1.2,1.5
미더덕-껍질,100,-,-,-,-
미역,100,-,-,-,-
미역,100,-,1.6,-,-
미역,100,-,-,-,0.3
미역-소건품,100,126,20,2.9,-
미역-소건품,100,-,15.2,-,-
미역-양식산,100,18,3,0.3,-
미역-염장품(데침),100,35,6,0.9,-
미역-자연산,100,15,2.1,0.2,-
미역-줄기,100,14,1.8,0.2,-
민꽃게,100,86,14.8,1.6,1.6
민달고기,100,95,20.3,1,-
민들조개,100,-,-,-,1.5
민어,100,-,-,-,2
민어,100,86,18,0.8,-
민어-양식산,100,-,19,-,-
민어-자연산,100,-,18.3,-,-
민어-조미건품,100,327,39.8,1.5,-
민태,100,88,15.2,2.5,-
민허리돼지고둥,100,105,16.5,2.4,-
밀복,100,-,-,-,-
밀복,100,-,18.4,-,-
밀복,100,80,17.3,0.7,-
밀복-조미건품(포),100,-,50,-,2.1
밍크고래-꼬리,100,-,15.5,-,-
밍크고래-뱃살,100,-,2.1,-,-
밍크고래-보통육,100,-,25.7,-,-
밍크고래-콩팥,100,-,19.5,-,-
밍크고래-혀,100,-,18.9,-,-
바다빙어,100,92,17.4,1.9,-
바닷가재,100,-,-,-,0.9
바위굴-자연산,100,-,-,-,1.3
바위두둑,100,-,0.7,-,0.1
바지락,100,-,-,-,-
바지락,100,-,12.3,-,-
바지락,100,-,-,-,-
바지락,100,-,-,-,-
바지락,100,-,-,-,-
바지락,100,-,-,-,-
바지락,100,73,12.5,1.2,1.2
바지락,100,-,-,-,-
바지락-소건품,100,347,74,3.7,-
바지락-자숙품,100,-,19.4,-,-
바지락-젓갈,100,51,8.5,1,-
박대,100,90,19.2,0.7,0.7
반딧불게르치,100,-,-,-,4.1
반지,100,-,-,-,8.8
반지,100,128,20.2,4.5,-
반지,100,-,16.9,-,-
밤송이게,100,-,15.1,-,-
방사무늬김-소건품,100,-,-,-,0.1
방어,100,-,-,-,-
방어,100,-,19.4,-,-
방어,100,-,-,-,5.6
방어,100,-,-,-,-
방어,100,101,21.7,0.8,-
방어-혈합육,100,-,-,-,-
배스,100,-,-,-,-
배스,100,-,-,-,0.5
백미돔,100,102,21,1.2,-
백연,100,89,19,0.8,-
백합,100,-,-,-,-
백합,100,-,-,-,0.7
백합,100,74,11.7,1,-
밴댕이,100,225,16.3,16.5,-
밴댕이-자건품,100,-,48,-,-
밴댕이-자건품,100,333,56.7,9.9,-
밴댕이-젓갈,100,117,16.3,4.9,4.9
뱀장어,100,-,-,-,17.9
뱀장어,100,223,14.4,17.1,-
뱀장어,100,-,14.5,-,-
뱀장어-간,100,202,12.2,6.3,-
뱀장어-양식산,100,-,-,-,-
뱀장어-자연산,100,-,-,-,-
뱀장어-조미-구운치,100,262,30.4,14.2,-
뱅어,100,68,13.3,1.1,-
뱅어-소건품,100,311,56.1,7.9,-
뱅어-조미건품(포),100,382,64.3,11.3,11.3
벌레문치,100,88,15.8,2,2
범가자미,100,82,18.2,0.2,0.2
범돔,100,-,-,-,4.6
범돔,100,94,19.5,1.1,-
베도라치,100,-,-,-,1.5
베도라치,100,105,20.7,1.9,-
베로치,100,86,19.5,0.4,-
벤자리,100,-,-,-,3.3
벤자리,100,123,17,5.3,-
벵에돔,100,-,-,-,-
벵에돔,100,98,20.2,1.4,-
벵에돔,100,-,20.9,-,-
벵에돔,100,-,-,-,3
별상어,100,-,-,-,-
별상어,100,-,-,-,0.8
별상어,100,-,-,-,-
별상어,100,103,23.5,0.3,-
별상어,100,-,17.4,-,-
별상어-간,100,-,-,-,-
별상어-간,100,-,-,57.1,-
별성대,100,91,19.3,1,-
별쭉지성대,100,-,-,-,-
별쭉지성대,100,129,19.2,5.1,-
병어,100,-,-,-,-
병어,100,-,16.1,-,5.2
병어,100,130,16.4,6.3,-
병어,100,-,-,-,-
병어-알,100,-,18.2,-,-
보구치,100,119,19.3,3.9,-
보구치,100,-,-,-,3.9
보구치,100,-,19,-,-
보라성게,100,-,-,-,3.9
보라성게,100,-,14.4,-,-
보라성게-알,100,-,-,-,-
보라성게-알,100,181,16.1,8.7,-
보리새우,100,-,-,-,-
보리새우,100,-,-,-,2.3
보리새우,100,-,14.6,-,-
보리새우,100,71,15.1,0.7,-
보말고둥,100,-,-,-,4.4
보말고둥,100,-,17.7,-,-
보말고둥,100,93,14.6,2.2,-
복섬,100,-,-,-,1
볼기우럭,100,129,18.7,5.3,-
볼락,100,-,-,-,2.1
볼락,100,93,19.3,1,-
볼락-양식산,100,-,19.4,-,-
볼락-자연산,100,-,20.1,-,-
부세,100,-,-,-,-
부세,100,105,17.2,3.4,-
부세,100,-,21.8,-,-
부시리,100,-,-,-,4.8
부시리,100,109,22.3,1.5,-
부채새우,100,-,-,-,-
부채새우,100,-,-,-,2.1
부채새우,100,-,15,-,-
부채새우,100,65,13.7,0.8,-
북방대합,100,-,-,-,-
북방대합,100,-,14.3,-,-
북방대합,100,62,12,0.8,-
북방전복-근육,100,-,-,-,-
북방전복-내장,100,-,-,-,-
북방전복-자숙품,100,-,-,-,3
북쪽분홍새우,100,-,-,-,0.6
분홍꼼치,100,74,15.2,0.5,0.5
불등풀가사리-소건품,100,152,16.5,0.6,-
불볼락,100,-,-,-,-
불볼락,100,-,-,-,4
불볼락,100,125,18.6,4.6,-
불볼락,100,-,17.7,-,-
붉바리,100,-,-,-,2.7
붉바리,100,-,22,-,-
붉바리,100,99,21,1.1,-
붉은대게,100,48,10.5,0.3,-
붉은대게,100,-,13.5,-,-
붉은대게-수컷-다리,100,-,12.1,-,0.4
붉은대게-수컷-몸통,100,-,8,-,2.7
