식품명,1회제공량,에너지(kcal),단백질(g),지방(g),탄수화물(g),총당류(g)
"보리, 겉보리, 흑수정찰, 조곡, 생것",100,349,11.64,2.34,72.82,1.42
"보리, 겉보리, 압맥",100,343,8.74,1.66,75.38,0.1
"보리, 겉보리, 할맥",100,354,9.3,1.67,77.71,1.62
"보리, 겉보리, 밥",100,144,3.55,0.7,31.79,0.37
"보리, 겉보리, 큰알보리1호, 밥",100,138,3.17,0.65,30.6,0.22
"보리, 겉보리, 흑수정찰, 밥",100,150,3.93,0.75,32.97,0.53
"보리, 맥주보리, 두산8호, 도정, 생것",100,352,10,1,78,-
"보리, 쌀보리, 도정, 생것",100,341,8.66,1.66,75.04,0.51
"보리, 쌀보리, 누리찰, 도정, 생것",100,340,8.89,1.57,74.77,0.57
"보리, 쌀보리, 호강, 도정, 생것",100,341,7.8,1.59,75.91,0.46
"보리, 쌀보리, 찰보리, 도정, 생것",100,346,11.87,2.15,72.29,0.5
"보리, 쌀보리, 찰보리, 서둔찰보리, 도정, 생것",100,354,9.7,1.1,78.5,-
"보리, 쌀보리, 찰보리, 할맥",100,362,8.5,1,82,-
"보리, 쌀보리, 밥",100,144,3.58,0.73,31.72,0.08
"보리, 쌀보리, 누리찰, 밥",100,142,3.77,0.72,30.99,0.08
"보리, 쌀보리, 호강, 밥",100,146,3.39,0.73,32.45,0.08
"보리, 가루",100,357,11.16,1.83,76.48,0.3
"보리, 가루, 껍질 포함",100,364,10.95,2.99,76.09,0
"보리, 볶은것",100,360,12.7,2.6,74.1,-
"보리, 엿기름",100,358,14.65,2.71,71.68,10.24
"수수, 도정, 생것",100,374,11.67,3.01,73.63,0.46
"수수, 찰수수, 도정, 생것",100,371,11.2,3.22,72.91,0.53
"수수, 찰수수, 남풍찰, 도정, 생것",100,378,11.03,3.67,74.03,0.68
"수수, 찰수수, 소담찰, 도정, 생것",100,376,12.73,3.02,73.19,0.66
"수수, 통수수, 생것",100,360,10.5,3.1,76.5,-
"수수떡, 수수경단",100,218,8.2,1.4,43.1,-
"시리얼, 쌀",100,390,6.65,1.68,86.99,21.72
"시리얼, 옥수수",100,378,5.11,0.59,88.05,39.55
"시리얼, 옥수수, 그래놀라, 건조과일",100,395,5.81,3.65,84.66,35.14
"시리얼, 옥수수, 그래놀라, 코코넛",100,434,5.56,9.75,80.93,29.49
"시리얼, 옥수수, 아몬드",100,426,7.3,9.29,78.18,34.79
"시리얼, 옥수수, 코코아",100,407,6.08,4.34,85.78,40.91
"시리얼, 현미",100,394,6.8,2.79,85.33,17.24
"아마란스, 노란색, 말린것",100,383,17.09,5.94,67.27,1.65
"아마란스, 빨간색, 말린것",100,381,16.47,5.78,67.59,1.71
"옥수수, 단옥수수, 생것",100,118,4.01,1.5,23.39,4.91
"옥수수, 단옥수수, 고당옥, 생것",100,108,3.87,1.24,21.61,4.58
"옥수수, 단옥수수, 고당옥1호, 생것",100,108,3.91,1.09,21.82,6.07
"옥수수, 단옥수수, 단옥3호, 생것",100,137,4.26,2.15,26.74,4.09
"옥수수, 단옥수수, 삶은것",100,118,3.99,1.47,23.53,4.2
"옥수수, 단옥수수, 고당옥, 삶은것",100,112,3.93,1.2,22.64,4.42
"옥수수, 단옥수수, 고당옥1호, 삶은것",100,108,4.14,1.33,21.25,3.61
"옥수수, 단옥수수, 단옥3호, 삶은것",100,134,3.91,1.89,26.71,4.57
"옥수수, 단옥수수, 찐것",100,135,4.2,0.7,29.1,-
"옥수수, 메옥수수, 생것",100,178,5.34,2.06,36.26,0.31
"옥수수, 메옥수수, 삶은것",100,173,5.11,2.19,34.89,0.29
"옥수수, 메옥수수, 구운것",100,372,8.9,3.9,78.3,-
"옥수수, 메옥수수, 말린것",100,358,9.94,3.83,74.12,1.94
"옥수수, 메옥수수, 강다옥, 말린것",100,361,9.82,4.46,73.68,1.32
"옥수수, 메옥수수, 광평옥, 말린것",100,358,9.73,4.69,72.54,1.41
"옥수수, 메옥수수, 다안옥, 말린것",100,356,10.25,4.28,72.49,1.54
"옥수수, 메옥수수, 다평옥, 말린것",100,359,9.02,3.64,75.32,2.13
"옥수수, 메옥수수, 신광옥, 말린것",100,354,9.79,3.06,74.78,1.7
"옥수수, 메옥수수, 신황옥, 말린것",100,357,10.22,3.62,74.14,2.51
"옥수수, 메옥수수, 안다옥, 말린것",100,356,10.25,3.41,74.3,2.27
"옥수수, 메옥수수, 양안옥, 말린것",100,358,9.56,3.61,74.98,1.72
"옥수수, 메옥수수, 장다옥, 말린것",100,357,11,3.76,73.36,2.26
"옥수수, 메옥수수, 창다옥, 말린것",100,360,8.93,3.47,75.96,1.79
"옥수수, 메옥수수, 청안옥, 말린것",100,360,9.11,3.8,75.29,2.4
"옥수수, 메옥수수, 평강옥, 말린것",100,359,9.45,3.54,75.3,2.16
"옥수수, 메옥수수, 평안옥, 말린것",100,358,11.77,4.61,71.24,2.26
"옥수수, 메옥수수, 황다옥, 말린것",100,358,10.32,3.65,74.27,1.64
"옥수수, 찰옥수수, 생것",100,141,4.79,1.4,28.96,3.42
"옥수수, 찰옥수수, 대학, 생것",100,164,4.79,1.62,34.02,3.42
"옥수수, 찰옥수수, 일미찰, 생것",100,126,5.12,1.25,25.18,3.53
"옥수수, 찰옥수수, 찰옥4호, 생것",100,162,4.63,1.51,33.96,3.74
"옥수수, 찰옥수수, 황금맛찰, 생것",100,114,4.62,1.21,22.68,2.98
"옥수수, 찰옥수수, 삶은것",100,136,4.72,1.48,27.42,2.62
"옥수수, 찰옥수수, 대학, 삶은것",100,140,4.22,1.42,28.85,2.62
