식품명,1회제공량,에너지(kcal),단백질(g),지방(g),탄수화물(g),총당류(g)
"고래고기, 생것",100,111,26.5,0.5,0,0
"고래고기, 복부정육, 생것",100,306,22,22.5,0.3,-
"고래고기, 복부지육, 생것",100,463,25.5,37.6,0.3,-
"고래고기, 붉은살, 냉동",100,132,23.5,3.5,0,-
"고래고기, 붉은살, 염절임",100,162,24.4,6.2,0.1,-
"고래 부산물, 꼬리, 생것",100,290,28.4,18,0.2,-
"고래 부산물, 꼬리, 냉동",100,253,13.8,20.6,0.3,-
"꿩고기, 숫꿩, 생것",100,124,27.5,0.8,0,-
"꿩고기, 암꿩, 생것",100,120,27.2,0.6,0,-
"닭고기, 살코기, 생것",100,115,24,1.4,0.1,-
"닭고기, 살코기, 삶은것",100,142,27.8,2.6,0.1,-
"닭고기, 구운것",100,247,27.8,12.6,2.8,-
"닭고기, 살코기, 튀긴것(튀김옷)",100,289,22.54,17.35,9.42,0
"닭고기, 전체, 튀긴것",100,274,23.9,17.1,6.1,-
"닭고기, 가슴, 생것",100,106,22.97,0.97,0,0
"닭고기, 가슴, 삶은것",100,127,28.09,0.93,0,0
"닭고기, 가슴, 구운것(팬)",100,164,35.47,1.48,0,0
"닭고기, 가슴, 튀긴것(튀김옷)",100,252,21,9.7,20.2,-
"닭고기, 날개, 생것",100,178,18.78,10.53,0,0
"닭고기, 날개, 삶은것",100,233,25.1,13.54,0,0
"닭고기, 날개, 구운것(오븐)",100,244,26.36,14.08,0,0
"닭고기, 날개, 튀긴것(튀김옷)",100,324,19.87,21.81,10.94,-
"닭고기, 다리(넓적다리), 생것",100,190,18.59,11.83,0,0
"닭고기, 다리(넓적다리), 삶은것",100,230,25.14,13.18,0,0
"닭고기, 다리(넓적다리), 구운것(팬)",100,238,26.33,13.53,0,0
"닭고기, 다리(넓적다리), 튀긴것(튀김옷)",100,277,21.61,16.53,9.08,-
"닭고기, 다리(아랫다리), 생것",100,154,19.41,7.67,0,0
"닭고기, 다리(아랫다리), 삶은것",100,189,24.34,9.17,0,0
"닭고기, 다리(아랫다리), 구운것(오븐)",100,215,28.88,9.92,0,0
"닭고기, 다리(아랫다리), 튀긴것(튀김옷)",100,268,21.95,15.75,8.28,-
"닭고기, 목, 생것",100,342,15.05,29.58,0,0
"닭고기, 목, 튀긴것(튀김옷)",100,330,19.82,23.52,8.7,-
"닭고기, 성계, 생것",100,180,19,10.6,0.1,-
"닭고기, 영계, 삶은것",100,251,26.1,15,0,-
"닭고기, 오골계, 생것",100,138,19,6.1,0.1,-
"닭고기, 토종, 생것",100,118,22,2.6,0.2,-
"닭고기, 토종, 살코기",100,108,20,1.3,2.8,-
"닭고기, 토종, 껍질",100,351,12.6,31.6,0,-
"닭고기, 토종, 가슴",100,106,23.1,0.7,0.5,-
"닭고기, 토종, 날개",100,122,20.4,3.5,0.8,-
"닭고기, 토종, 다리",100,130,18.9,4.9,0.9,-
"닭 부산물, 간, 생것",100,116,18.8,3.9,0.1,-
"닭 부산물, 간, 삶은것",100,167,24.46,6.51,0.87,0
"닭 부산물, 모래주머니, 생것",100,84,16.87,1.41,0,0
"닭 부산물, 모래주머니, 구운것(오븐)",100,132,26.78,2,0,0
"닭 부산물, 심장, 생것",100,153,15.55,9.33,0.71,-
"닭 부산물, 심장, 삶은것",100,185,26.41,7.92,0.1,-
"닭 부산물, 닭발, 삶은것",100,215,19.4,14.6,0.2,0
닭 육수,100,12,1.3,0.7,0,-
닭뼈 육수,100,7,0.9,0.4,Tr,-
닭꼬치,100,252,16.5,12.2,19.1,-
"돼지고기, 살코기, 생것",100,203,19.45,12.84,0,0
"돼지고기, 갈비, 생것",100,236,17.77,17.06,0,0
"돼지고기, 갈비, 삶은것",100,296,26.51,19.54,0,0
"돼지고기, 갈비, 구운것(팬)",100,270,24.83,17.59,0,0
"돼지고기, 뒷다리, 생것",100,135,20.88,4.97,0,0
"돼지고기, 뒷다리, 삶은것",100,211,30.63,8.7,0,0
"돼지고기, 뒷다리, 구운것(팬)",100,212,30.21,8.93,0,0
"돼지고기, 뒷다리(도가니살), 생것",100,130,21.29,4.23,0,0
"돼지고기, 뒷다리(뒷사태살), 생것",100,135,20.51,5.11,0,0
"돼지고기, 뒷다리(보섭살), 생것",100,138,21.13,5.14,0,0
"돼지고기, 뒷다리(볼기살), 생것",100,133,20.79,4.81,0,0
"돼지고기, 뒷다리(설깃살), 생것",100,139,20.9,5.39,0,0
"돼지고기, 뒷다리(홍두깨살), 생것",100,136,20.03,5.44,0,0
"돼지고기, 등심, 생것",100,142,23.33,4.58,0,0
"돼지고기, 등심, 삶은것",100,204,35.08,5.94,0,0
"돼지고기, 등심, 구운것(팬)",100,184,32.06,5.18,0,0
"돼지고기, 등심(등심살), 생것",100,135,24.03,3.6,0,0
"돼지고기, 등심(등심덧살), 생것",100,203,17.51,13.74,0,0
"돼지고기, 등심(알등심살), 생것",100,145,22.9,5.13,0,0
"돼지고기, 목심, 생것",100,227,17.21,16.36,0,0
"돼지고기, 목심, 삶은것",100,282,25.43,18.56,0,0
"돼지고기, 목심, 구운것(팬)",100,264,24.06,17.23,0,0
"돼지고기, 사태, 생것",100,156,19.78,7.72,0,0
"돼지고기, 사태, 삶은것",100,203,29.14,8.46,0,0
"돼지고기, 사태, 구운것(팬)",100,212,28.47,9.74,0,0
"돼지고기, 삼겹살, 생것",100,372,13.9,33.31,0,0
"돼지고기, 삼겹살, 삶은것",100,427,19.58,36.64,0,0
"돼지고기, 삼겹살, 구운것(팬)",100,484,22.78,41.2,0,0
"돼지고기, 삼겹살(갈매기살), 생것",100,190,17.92,12.16,0,0
"돼지고기, 삼겹살(등갈비), 생것",100,237,17.88,17.19,0,0
"돼지고기, 삼겹살(삼겹살), 생것",100,392,13.27,35.7,0,0
"돼지고기, 삼겹살(오돌삼겹), 생것",100,325,17.12,26.89,0,0
"돼지고기, 삼겹살(토시살), 생것",100,141,20.46,5.82,0,0
"돼지고기, 안심, 생것",100,123,22.21,3.15,0,0
"돼지고기, 안심, 삶은것",100,177,32.32,4.31,0,0
"돼지고기, 안심, 구운것(팬)",100,172,30.23,4.76,0,0
"돼지고기, 앞다리, 생것",100,159,20.21,7.87,0,0
"돼지고기, 앞다리(꾸리살), 생것",100,135,18.83,5.91,0,0
"돼지고기, 앞다리(부채살), 생것",100,152,20.09,7.18,0,0
"돼지고기, 앞다리(앞다리살), 생것",100,161,20.56,7.92,0,0
"돼지고기, 앞다리(앞사태살), 생것",100,132,20.82,4.68,0,0
"돼지고기, 앞다리(주걱살), 생것",100,144,20.49,6.13,0,0
"돼지고기, 앞다리(항정살), 생것",100,307,17.98,24.52,0,0
"돼지 부산물, 간, 생것",100,134,21.39,3.65,2.47,-
"돼지 부산물, 간, 삶은것",100,165,26.02,4.4,3.76,-
"돼지 부산물, 대장, 생것",100,227,8.7,20.2,0,-
"돼지 부산물, 대장, 삶은것",100,166,11.7,13.8,0,-
"돼지 부산물, 맹장, 생것",100,371,10.8,34.6,0,-
"돼지 부산물, 머리고기, 생것",100,279,20.6,20.3,0.2,-
"돼지 부산물, 비장, 생것",100,85,18,1,0,-
"돼지 부산물, 소창(곱창), 생것",100,182,7.64,16.61,0,0
"돼지 부산물, 소창(곱창), 삶은것",100,233,12.49,20.32,0,0
"돼지 부산물, 신장, 생것",100,110,16.7,3.7,1.2,-
"돼지 부산물, 신장, 삶은것",100,151,25.4,4.7,0,-
"돼지 부산물, 심장(염통), 생것",100,118,17.27,4.36,1.33,0
"돼지 부산물, 심장(염통), 삶은것",100,148,23.6,5.05,0.4,-
"돼지 부산물, 위(오소리감투), 생것",100,112,17.3,4.1,0,-
"돼지 부산물, 위(오소리감투), 삶은것",100,157,21.4,7.26,0.09,0
"돼지 부산물, 자궁, 생것",100,73,15.4,0.8,0,-
"돼지 부산물, 족발, 생것",100,212,23.16,12.59,0,0
"돼지 부산물, 족발, 삶은것",100,238,21.94,16.05,0,0
"돼지 부산물, 족발, 조미, 삶은것",100,220,28.91,11.65,0,0.28
"돼지 부산물, 직장, 생것",100,344,9.9,32.1,0,-
"돼지 부산물, 췌장, 생것",100,154,20.7,7.1,0,-
"돼지 부산물, 허파, 생것",100,85,14.08,2.72,0,-
"돼지 부산물, 허파, 삶은것",100,99,16.6,3.1,0,-
베이컨,100,241,15.27,17.12,6.42,0.98
"베이컨, 구운것",100,548,35.73,43.27,1.35,0
"소시지, 말린것",100,467,26.7,42,2.6,1.9
"소시지, 리용소시지",100,188,14.9,13.1,3.7,0.6
"소시지, 볼로냐소시지",100,242,12.5,21,2.9,1.1
"소시지, 위너(비엔나)소시지",100,251,15.27,16.91,9.36,0.87
"소시지, 이탈리안소시지",100,290,13.9,24.26,2.97,1.19
"소시지, 프랑크푸르트소시지",100,241,14.41,17.7,5.9,1.28
"햄, 등심햄",100,121,20.66,3.34,1.97,1.53
"햄, 런천미트햄",100,197,15.43,11.53,7.92,0.93
"햄, 본레스햄, 구운것",100,145,20.93,5.53,1.5,0
"햄, 프레스햄",100,217,16.09,15.66,3.01,1.73
"햄, 프레스햄, 데친것",100,256,15.44,19.51,4.63,1.57
"햄, 프레스햄, 구운것(팬)",100,249,16.2,18.77,3.78,1.86
"햄, 슬라이스햄",100,193,17.01,12.82,2.3,1.34
"햄, 슬라이스햄, 데친것",100,203,17.26,13.14,3.94,1.54
"햄, 슬라이스햄, 구운것(팬)",100,234,19.7,15.43,4.05,2.12
"돼지불고기, 생것",100,128,14.1,6.9,2.4,-
"순대, 선지 비율 낮은것",100,178,3.18,3.96,32.28,1.09
"순대, 선지 비율 높은것",100,150,9.22,7.37,11.65,2.36
"포크커틀릿, 냉동",100,285,9.4,18.2,21,-
"포크커틀릿, 냉동, 튀긴것(빵가루)",100,365,16.6,23.7,21.2,-
"말고기, 살코기, 생것",100,102,20.1,2.5,0.3,-
"메추리고기, 생것",100,194,20.5,12.9,0.1,-
"멧돼지고기, 생것",100,249,18.8,19.8,0.5,-
"멧돼지고기, 앞다리, 생것",100,191,21.5,10.7,0,-
"소고기, 수입산, 갈비, 구운것(오븐)",100,400,22.57,33.7,0,-
"소고기, 수입산, 목심(목심살), 생것",100,268,16.98,21.31,0.97,0
"소고기, 수입산, 목심(목심살), 삶은것",100,359,26.37,27.26,0,0
"소고기, 수입산, 사태, 끓인것",100,201,33.68,6.36,0,-
"소고기, 수입산, 설도, 구운것(석쇠)",100,164,28.45,4.67,0,0
"소고기, 수입산, 안심(안심살), 구운것",100,267,26.46,17.12,0,0
"소고기, 한우, 갈비, 생것",100,307,16.5,24.4,1.9,-
"소고기, 한우, 등심, 생것",100,313,15.61,26.3,0,0
"소고기, 한우, 등심, 삶은것",100,357,25.2,26.63,0,0
"소고기, 한우, 등심, 구운것(팬)",100,400,18.9,33.99,0,0
"소고기, 한우, 양지, 생것",100,253,18.58,18.59,0,0
"소고기, 한우, 양지, 삶은것",100,272,33.09,14.05,0,0
"소고기, 한우, 양지, 구운것(팬)",100,309,25.6,21.32,0,0
"소고기, 한우, 채끝, 생것",100,126,17.1,5.6,0.2,-
"소고기, 한우(1++등급), 살코기, 생것",100,269,17.88,20.6,0,0
"소고기, 한우(1++등급), 갈비, 생것",100,406,13.86,36.93,0,0
"소고기, 한우(1++등급), 갈비(꽃갈비), 생것",100,424,12.62,39.35,0,0
"소고기, 한우(1++등급), 갈비(본갈비), 생것",100,376,14.64,33.38,0,0
"소고기, 한우(1++등급), 갈비(안창살), 생것",100,313,14.57,26.73,0,0
"소고기, 한우(1++등급), 갈비(제비추리), 생것",100,202,20.04,12.49,0,0
"소고기, 한우(1++등급), 갈비(참갈비), 생것",100,415,12.17,38.65,0,0
"소고기, 한우(1++등급), 갈비(토시살), 생것",100,273,16.46,21.62,0,0
"소고기, 한우(1++등급), 등심, 생것",100,349,15.76,30.03,0,0
"소고기, 한우(1++등급), 등심(꽃등심살), 생것",100,365,15.44,31.86,0,0
"소고기, 한우(1++등급), 등심(살치살), 생것",100,363,14.73,31.96,0,0
"소고기, 한우(1++등급), 등심(아래등심살), 생것",100,348,16.23,29.73,0,0
"소고기, 한우(1++등급), 등심(윗등심살), 생것",100,335,16.03,28.46,0,0
"소고기, 한우(1++등급), 목심, 생것",100,217,20.24,13.96,0,0
"소고기, 한우(1++등급), 사태, 생것",100,174,21.37,8.91,0,0
"소고기, 한우(1++등급), 사태(뒷사태), 생것",100,178,21.41,9.31,0,0
"소고기, 한우(1++등급), 사태(뭉치사태), 생것",100,167,22.45,7.7,0,0
"소고기, 한우(1++등급), 사태(상박살), 생것",100,222,20.22,14.55,0,0
"소고기, 한우(1++등급), 사태(아롱사태), 생것",100,233,21.76,15.03,0,0
"소고기, 한우(1++등급), 사태(앞사태), 생것",100,159,20.86,7.58,0,0
"소고기, 한우(1++등급), 설도, 생것",100,217,19.63,14.21,0,0
"소고기, 한우(1++등급), 설도(도가니살), 생것",100,175,20.28,9.47,0,0
"소고기, 한우(1++등급), 설도(보섭살), 생것",100,218,20.24,14.05,0,0
"소고기, 한우(1++등급), 설도(삼각살), 생것",100,304,16.89,24.76,0,0
"소고기, 한우(1++등급), 설도(설깃머리살), 생것",100,245,17.85,18.03,0,0
"소고기, 한우(1++등급), 설도(설깃살), 생것",100,223,19.74,14.85,0,0
"소고기, 한우(1++등급), 안심, 생것",100,268,17.4,20.63,0,0
"소고기, 한우(1++등급), 앞다리, 생것",100,222,18.9,15.12,0,0
"소고기, 한우(1++등급), 앞다리(갈비덧살), 생것",100,224,19.17,15.21,0,0
"소고기, 한우(1++등급), 앞다리(꾸리살), 생것",100,192,19.58,11.58,0,0
"소고기, 한우(1++등급), 앞다리(부채덮개살), 생것",100,185,21.26,10.1,0,0
"소고기, 한우(1++등급), 앞다리(부채살), 생것",100,285,17.02,22.64,0,0
"소고기, 한우(1++등급), 앞다리(앞다리살), 생것",100,213,18.93,14.19,0,0
"소고기, 한우(1++등급), 양지, 생것",100,288,16.81,23.08,0,0
"소고기, 한우(1++등급), 양지(앞치마살), 생것",100,351,14.29,30.9,0,0
"소고기, 한우(1++등급), 양지(양지머리), 생것",100,213,19.88,13.75,0,0
"소고기, 한우(1++등급), 양지(업진살), 생것",100,413,12.64,38.19,0,0
"소고기, 한우(1++등급), 양지(업진안살), 생것",100,321,15.43,27.21,0,0
"소고기, 한우(1++등급), 양지(차돌박이), 생것",100,342,14.12,29.96,0,0
"소고기, 한우(1++등급), 양지(치마살), 생것",100,275,16.37,21.84,0,0
"소고기, 한우(1++등급), 양지(치마양지), 생것",100,253,18.04,18.82,0,0
"소고기, 한우(1++등급), 우둔, 생것",100,191,20.4,11.11,0,0
"소고기, 한우(1++등급), 우둔(우둔살), 생것",100,191,20.39,11.17,0,0
"소고기, 한우(1++등급), 우둔(홍두깨살), 생것",100,189,20.44,10.87,0,0
"소고기, 한우(1++등급), 채끝, 생것",100,360,16.48,30.84,0,0
"소고기, 한우(1+등급), 살코기, 생것",100,251,19.01,18.18,0,0
"소고기, 한우(1+등급), 갈비, 생것",100,388,15.5,34.29,0,0
"소고기, 한우(1+등급), 갈비(꽃갈비), 생것",100,391,14.7,36.43,0,0
"소고기, 한우(1+등급), 갈비(본갈비), 생것",100,388,14.69,34.65,0,0
"소고기, 한우(1+등급), 갈비(안창살), 생것",100,313,15.25,26.4,0,0
"소고기, 한우(1+등급), 갈비(제비추리), 생것",100,187,21.13,10.45,0,0
"소고기, 한우(1+등급), 갈비(참갈비), 생것",100,373,14.82,32.98,0,0
"소고기, 한우(1+등급), 갈비(토시살), 생것",100,269,15.69,21.52,0,0
"소고기, 한우(1+등급), 등심, 생것",100,333,16.87,27.84,0,0
"소고기, 한우(1+등급), 등심(꽃등심살), 생것",100,342,17.1,28.72,0,0
"소고기, 한우(1+등급), 등심(살치살), 생것",100,351,13.53,31.28,0,0
"소고기, 한우(1+등급), 등심(아래등심살), 생것",100,297,18.23,23.34,0,0
"소고기, 한우(1+등급), 등심(윗등심살), 생것",100,339,16.98,28.45,0,0
"소고기, 한우(1+등급), 목심, 생것",100,227,20.83,14.75,0,0
"소고기, 한우(1+등급), 사태, 생것",100,156,21.29,7.06,0,0
"소고기, 한우(1+등급), 사태(뒷사태), 생것",100,153,20.57,7.01,0,0
"소고기, 한우(1+등급), 사태(뭉치사태), 생것",100,138,21.89,4.85,0,0
"소고기, 한우(1+등급), 사태(상박살), 생것",100,211,20.12,13.38,0,0
"소고기, 한우(1+등급), 사태(아롱사태), 생것",100,241,20.6,16.38,0,0
"소고기, 한우(1+등급), 사태(앞사태), 생것",100,153,22.05,6.41,0,0
"소고기, 한우(1+등급), 설도, 생것",100,191,20.82,10.96,0,0
"소고기, 한우(1+등급), 설도(도가니살), 생것",100,171,20.02,9.18,0,0
"소고기, 한우(1+등급), 설도(보섭살), 생것",100,179,21.82,9.21,0,0
"소고기, 한우(1+등급), 설도(삼각살), 생것",100,211,19.38,13.74,0,0
"소고기, 한우(1+등급), 설도(설깃머리살), 생것",100,211,19.2,13.81,0,0
"소고기, 한우(1+등급), 설도(설깃살), 생것",100,207,21.5,12.38,0,0
"소고기, 한우(1+등급), 안심, 생것",100,210,20.69,13.03,0,0
"소고기, 한우(1+등급), 앞다리, 생것",100,200,19.72,12.37,0,0
"소고기, 한우(1+등급), 앞다리(갈비덧살), 생것",100,215,18.61,14.51,0,0
"소고기, 한우(1+등급), 앞다리(꾸리살), 생것",100,189,19.04,11.51,0,0
"소고기, 한우(1+등급), 앞다리(부채덮개살), 생것",100,161,20.7,7.85,0,0
"소고기, 한우(1+등급), 앞다리(부채살), 생것",100,251,17.42,18.84,0,0
"소고기, 한우(1+등급), 앞다리(앞다리살), 생것",100,188,20.74,10.71,0,0
"소고기, 한우(1+등급), 양지, 생것",100,273,17.77,21.09,0,0
"소고기, 한우(1+등급), 양지(앞치마살), 생것",100,297,17.38,23.81,0,0
"소고기, 한우(1+등급), 양지(양지머리), 생것",100,197,19.77,12.11,0,0
"소고기, 한우(1+등급), 양지(업진살), 생것",100,335,15.09,28.85,0,0
"소고기, 한우(1+등급), 양지(업진안살), 생것",100,305,18.09,24.35,0,0
"소고기, 한우(1+등급), 양지(차돌박이), 생것",100,484,11.16,46.45,0,0
"소고기, 한우(1+등급), 양지(치마살), 생것",100,241,17.64,17.69,0,0
"소고기, 한우(1+등급), 양지(치마양지), 생것",100,217,20.81,13.71,0,0
"소고기, 한우(1+등급), 우둔, 생것",100,179,22.47,8.92,0,0
"소고기, 한우(1+등급), 우둔(우둔살), 생것",100,183,22.68,9.32,0,0
"소고기, 한우(1+등급), 우둔(홍두깨살), 생것",100,160,21.61,7.31,0,0
"소고기, 한우(1+등급), 채끝, 생것",100,314,17.92,25.29,0,0
"소고기, 한우(1등급), 살코기, 생것",100,233,20.22,15.7,0,0
"소고기, 한우(1등급), 갈비, 생것",100,376,16.78,32.39,0,0
"소고기, 한우(1등급), 갈비(꽃갈비), 생것",100,396,15.35,35.25,0,0
"소고기, 한우(1등급), 갈비(본갈비), 생것",100,312,16.94,25.61,0,0
"소고기, 한우(1등급), 갈비(안창살), 생것",100,293,15.46,24.16,0,0
"소고기, 한우(1등급), 갈비(제비추리), 생것",100,178,21.95,9.06,0,0
"소고기, 한우(1등급), 갈비(참갈비), 생것",100,404,15.89,35.76,0,0
"소고기, 한우(1등급), 갈비(토시살), 생것",100,271,19.63,20.02,0,0
"소고기, 한우(1등급), 등심, 생것",100,309,18.6,24.45,0,0
"소고기, 한우(1등급), 등심(꽃등심살), 생것",100,336,17.76,27.73,0,0
"소고기, 한우(1등급), 등심(살치살), 생것",100,319,16.68,26.39,0,0
"소고기, 한우(1등급), 등심(아래등심살), 생것",100,263,17.79,19.95,0,0
"소고기, 한우(1등급), 등심(윗등심살), 생것",100,309,20.05,23.89,0,0
"소고기, 한우(1등급), 목심, 생것",100,204,21.6,12.04,0,0
"소고기, 한우(1등급), 사태, 생것",100,157,23.06,6.39,0,0
"소고기, 한우(1등급), 사태(뒷사태), 생것",100,161,22.93,6.84,0,0
"소고기, 한우(1등급), 사태(뭉치사태), 생것",100,147,24.04,4.86,0,0
"소고기, 한우(1등급), 사태(상박살), 생것",100,185,21.38,10.06,0,0
"소고기, 한우(1등급), 사태(아롱사태), 생것",100,237,21.47,15.55,0,0
"소고기, 한우(1등급), 사태(앞사태), 생것",100,147,23.1,5.24,0,0
"소고기, 한우(1등급), 설도, 생것",100,183,20.98,10.06,0,0
"소고기, 한우(1등급), 설도(도가니살), 생것",100,163,20.37,8.14,0,0
"소고기, 한우(1등급), 설도(보섭살), 생것",100,163,21.75,7.57,0,0
"소고기, 한우(1등급), 설도(삼각살), 생것",100,225,21.01,14.52,0,0
"소고기, 한우(1등급), 설도(설깃머리살), 생것",100,197,20.22,11.84,0,0
"소고기, 한우(1등급), 설도(설깃살), 생것",100,204,21.09,12.22,0,0
"소고기, 한우(1등급), 안심, 생것",100,205,19.17,13.14,0,0
"소고기, 한우(1등급), 앞다리, 생것",100,188,21.15,10.49,0,0
"소고기, 한우(1등급), 앞다리(갈비덧살), 생것",100,187,20.39,10.73,0,0
"소고기, 한우(1등급), 앞다리(꾸리살), 생것",100,157,20.61,7.43,0,0
"소고기, 한우(1등급), 앞다리(부채덮개살), 생것",100,150,21.39,6.34,0,0
"소고기, 한우(1등급), 앞다리(부채살), 생것",100,253,20.7,17.64,0,0
"소고기, 한우(1등급), 앞다리(앞다리살), 생것",100,179,21.53,9.38,0,0
"소고기, 한우(1등급), 양지, 생것",100,248,20.21,17.27,0,0
"소고기, 한우(1등급), 양지(앞치마살), 생것",100,292,18.69,22.65,0,0
"소고기, 한우(1등급), 양지(양지머리), 생것",100,198,21.16,11.55,0,0
"소고기, 한우(1등급), 양지(업진살), 생것",100,291,19.34,22.22,0,0
"소고기, 한우(1등급), 양지(업진안살), 생것",100,269,17.76,20.62,0,0
"소고기, 한우(1등급), 양지(차돌박이), 생것",100,408,16.45,35.94,0,0
"소고기, 한우(1등급), 양지(치마살), 생것",100,216,20.43,13.75,0,0
"소고기, 한우(1등급), 양지(치마양지), 생것",100,193,22.27,10.57,0,0
"소고기, 한우(1등급), 우둔, 생것",100,162,23,6.92,0,0
"소고기, 한우(1등급), 우둔(우둔살), 생것",100,166,23.08,7.29,0,0
"소고기, 한우(1등급), 우둔(홍두깨살), 생것",100,146,22.66,5.38,0,0
"소고기, 한우(1등급), 채끝, 생것",100,230,17.59,16.51,0,0
"소고기, 한우(2등급), 살코기, 생것",100,214,19.99,13.78,0,0
"소고기, 한우(2등급), 갈비, 생것",100,306,18.02,24.41,0,0
"소고기, 한우(2등급), 갈비(꽃갈비), 생것",100,313,17.35,25.48,0,0
"소고기, 한우(2등급), 갈비(본갈비), 생것",100,310,16.65,25.5,0,0
"소고기, 한우(2등급), 갈비(안창살), 생것",100,238,16.63,17.79,0,0
"소고기, 한우(2등급), 갈비(제비추리), 생것",100,172,21.53,8.58,0,0
"소고기, 한우(2등급), 갈비(참갈비), 생것",100,291,17.73,22.98,0,0
"소고기, 한우(2등급), 갈비(토시살), 생것",100,260,18.25,19.42,0,0
"소고기, 한우(2등급), 등심, 생것",100,275,18.25,21.06,0,0
"소고기, 한우(2등급), 등심(꽃등심살), 생것",100,301,17.12,24.34,0,0
"소고기, 한우(2등급), 등심(살치살), 생것",100,274,17.19,21.44,0,0
"소고기, 한우(2등급), 등심(아래등심살), 생것",100,246,20.04,17.21,0,0
"소고기, 한우(2등급), 등심(윗등심살), 생것",100,272,18.43,20.63,0,0
"소고기, 한우(2등급), 목심, 생것",100,194,20.17,11.6,0,0
"소고기, 한우(2등급), 사태, 생것",100,155,21.77,6.73,0,0
"소고기, 한우(2등급), 사태(뒷사태), 생것",100,158,21.75,7.06,0,0
"소고기, 한우(2등급), 사태(뭉치사태), 생것",100,145,23.25,5,0,0
"소고기, 한우(2등급), 사태(상박살), 생것",100,174,21.05,9.09,0,0
"소고기, 한우(2등급), 사태(아롱사태), 생것",100,221,21.77,13.69,0,0
"소고기, 한우(2등급), 사태(앞사태), 생것",100,148,21.08,6.28,0,0
"소고기, 한우(2등급), 설도, 생것",100,173,21.17,8.85,0,0
"소고기, 한우(2등급), 설도(도가니살), 생것",100,168,21.56,8.2,0,0
"소고기, 한우(2등급), 설도(보섭살), 생것",100,168,21.26,8.33,0,0
"소고기, 한우(2등급), 설도(삼각살), 생것",100,202,20.36,12.31,0,0
"소고기, 한우(2등급), 설도(설깃머리살), 생것",100,200,19.72,12.36,0,0
"소고기, 한우(2등급), 설도(설깃살), 생것",100,165,21.43,7.95,0,0
"소고기, 한우(2등급), 안심, 생것",100,207,19.84,13.11,0,0
"소고기, 한우(2등급), 앞다리, 생것",100,174,21.11,9.07,0,0
"소고기, 한우(2등급), 앞다리(갈비덧살), 생것",100,174,20.6,9.3,0,0
"소고기, 한우(2등급), 앞다리(꾸리살), 생것",100,163,20.57,8.07,0,0
"소고기, 한우(2등급), 앞다리(부채덮개살), 생것",100,156,22.84,6.36,0,0
"소고기, 한우(2등급), 앞다리(부채살), 생것",100,219,19.93,14.36,0,0
"소고기, 한우(2등급), 앞다리(앞다리살), 생것",100,164,21.44,7.85,0,0
"소고기, 한우(2등급), 양지, 생것",100,232,19.37,15.99,0,0
"소고기, 한우(2등급), 양지(앞치마살), 생것",100,254,18.31,18.74,0,0
"소고기, 한우(2등급), 양지(양지머리), 생것",100,198,20.35,11.91,0,0
"소고기, 한우(2등급), 양지(업진살), 생것",100,298,17.43,23.86,0,0
"소고기, 한우(2등급), 양지(업진안살), 생것",100,224,18.69,15.38,0,0
"소고기, 한우(2등급), 양지(차돌박이), 생것",100,326,16.06,27.39,0,0
"소고기, 한우(2등급), 양지(치마살), 생것",100,206,19.05,13.32,0,0
"소고기, 한우(2등급), 양지(치마양지), 생것",100,182,21.82,9.52,0,0
"소고기, 한우(2등급), 우둔, 생것",100,153,22.18,6.33,0,0
"소고기, 한우(2등급), 우둔(우둔살), 생것",100,157,22.14,6.73,0,0
"소고기, 한우(2등급), 우둔(홍두깨살), 생것",100,138,22.35,4.69,0,0
"소고기, 한우(2등급), 채끝, 생것",100,245,20.35,16.9,0,0
"소고기, 한우(3등급), 등심, 생것",100,117,21.3,2.9,0,-
"소고기, 한우(3등급), 목심, 생것",100,102,21.4,1.2,0,-
"소고기, 한우(3등급), 설도(보섭살), 생것",100,108,22.2,1.5,0,-
"소고기, 한우(3등급), 설도(설깃살), 생것",100,103,22.2,1,0,-
"소고기, 한우(3등급), 앞다리(꾸리살), 생것",100,102,21.5,1.2,0,-
"소고기, 한우(3등급), 우둔(우둔살), 생것",100,107,22.8,1.1,0,-
"소고기, 한우(3등급), 우둔(홍두깨살), 생것",100,104,22.5,1,0,-
"소고기, 한우(3등급), 양지(양지머리), 생것",100,104,21.4,1.5,0,-
"소고기, 한우(3등급), 양지(업진살), 생것",100,111,21.7,2.1,0,-
"소고기, 한우(3등급), 채끝, 생것",100,113,22.4,2,0,-
"소 부산물, 간, 생것",100,135,20.36,3.63,3.89,0
"소 부산물, 간, 삶은것",100,191,29.08,5.26,5.13,0
"소 부산물, 간, 구운것(팬)",100,175,26.52,4.68,5.16,0
"소 부산물, 골, 생것",100,123,9.3,8.2,1.7,-
"소 부산물, 꼬리, 생것",100,252,17.4,19,0,-
"소 부산물, 선지(피), 생것",100,51,10.1,0,2.2,-
"소 부산물, 소장(곱창), 생것",100,145,9,11.3,0.1,-
"소 부산물, 신장, 생것",100,99,17.4,3.09,0.29,0
"소 부산물, 신장, 삶은것",100,158,27.27,4.65,0,0
"소 부산물, 심장, 생것",100,112,17.72,3.94,0.14,0
"소 부산물, 심장, 삶은것",100,165,28.48,4.73,0.15,0
"소 부산물, 양(위), 생것",100,61,9.9,2,0.1,-
"소 부산물, 양(위), 삶은것",100,166,24.5,8.4,0,-
