식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
슈퍼디럭스(슈퍼시드 함유 도우M),133,332,14,-,-,3
슈퍼디럭스 더블치즈엣지(오리지널 L),149,373,16,-,-,5
슈퍼디럭스 더블치즈엣지(오리지널 M),159,359,19,-,-,3
슈퍼슈프림(오리지널 L),188,452,24,-,-,3
슈퍼슈프림(오리지널 M),151,321,17,-,-,5
슈퍼슈프림(나폴리L),168,366,20,-,-,5
슈퍼슈프림(나폴리M),123,246,14,-,-,4
슈퍼슈프림(씬 L),139,291,16,-,-,5
슈퍼슈프림(씬 M),111,236,13,-,-,4
슈퍼슈프림(슈퍼시드 함유 도우L),120,251,15,-,-,5
슈퍼슈프림(슈퍼시드 함유 도우M),146,335,15,-,-,8
슈퍼슈프림 더블치즈엣지(오리지널 L),165,385,19,-,-,9
슈퍼슈프림 더블치즈엣지(오리지널 M),172,374,21,-,-,5
와규 앤 비스테카(오리지널 L),193,433,24,-,-,5
와규 앤 비스테카(오리지널 M),130,305,14,-,-,8
와규 앤 비스테카(나폴리L),154,377,16,-,-,7
와규 앤 비스테카(나폴리M),107,247,16,-,-,7
와규 앤 비스테카(씬 L),130,306,18,-,-,7
와규 앤 비스테카(씬 M),179,477,23,-,-,15
와규 앤 비스테카(슈퍼시드 함유 도우L),104,262,12,-,-,7
와규 앤 비스테카(슈퍼시드 함유 도우M),131,306,13,-,-,8
와규 앤 비스테카 더블치즈엣지(오리지널 L),156,354,16,-,-,9
와규 앤 비스테카 더블치즈엣지(오리지널 M),163,388,19,-,-,8
우리 고구마(오리지널 L),198,484,25,-,-,9
우리 고구마(오리지널 M),128,321,13,-,-,9
우리 고구마(나폴리L),157,372,15,-,-,14
우리 고구마(나폴리M),107,273,11,-,-,9
우리 고구마(씬 L),134,311,12,-,-,12
우리 고구마(씬 M),175,482,19,-,-,17
우리 고구마(슈퍼시드 함유 도우L),109,277,10,-,-,13
우리 고구마(슈퍼시드 함유 도우M),130,338,13,-,-,10
우리 고구마 더블치즈엣지(오리지널 L),166,399,15,-,-,17
우리 고구마 더블치즈엣지(오리지널 M),156,399,18,-,-,9
직화 스테이크(오리지널 L),193,482,22,-,-,14
직화 스테이크(오리지널 M),126,304,14,-,-,5
직화 스테이크(나폴리L),160,370,20,-,-,6
직화 스테이크(나폴리M),100,240,12,-,-,4
직화 스테이크(씬 L),134,314,16,-,-,6
직화 스테이크(씬 M),162,444,20,-,-,6
직화 스테이크(슈퍼시드 함유 도우L),110,308,14,-,-,4
직화 스테이크(슈퍼시드 함유 도우M),124,308,14,-,-,6
직화 스테이크 더블치즈엣지(오리지널 M),162,406,18,-,-,8
직화 스테이크 더블치즈엣지(오리지널 L),194,480,24,-,-,6
치즈(오리지널 L),151,364,20,-,-,5
치즈(오리지널 M),191,466,24,-,-,7
치즈(나폴리L),112,285,15,-,-,5
치즈(나폴리M),136,352,19,-,-,6
치즈(씬 L),116,305,18,-,-,5
치즈(씬 M),110,314,17,-,-,5
치즈(슈퍼시드 함유 도우L),124,374,20,-,-,5
치즈(슈퍼시드 함유 도우M),191,491,24,-,-,11
